"bottle.id","approach.fit","lag.rem","fit.to","fit.last","tlag","ylag","B0","k","ME"
"1060","3","FALSE","SMP.rate",FALSE,0,0,363.21,0.033759,0.14214
"1060","4","FALSE","SMP",FALSE,0,0,377.9,0.031502,0.91721
"1060","5","TRUE","SMP.rate",TRUE,1.8,1.9514,309.28,0.098956,0.37914
"1060","6","TRUE","SMP",TRUE,1.8,1.9514,366.26,0.035645,0.85886
"1061","1","TRUE","SMP.rate",FALSE,1.8,1.6459,190,0.23524,-0.030214
"1061","2","TRUE","SMP",FALSE,1.8,1.6459,1499.7,0.0066739,0.90012
"1061","3","FALSE","SMP.rate",FALSE,0,0,1035.5,0.01076,0.025282
"1061","4","FALSE","SMP",FALSE,0,0,2466.5,0.0036813,0.93151
"1061","5","TRUE","SMP.rate",TRUE,1.8,1.6459,594.22,0.023876,0.071838
"1061","6","TRUE","SMP",TRUE,1.8,1.6459,962.38,0.011163,0.89735
"1062","1","TRUE","SMP.rate",FALSE,1.8,1.9514,190.59,0.2344,0.47811
"1062","2","TRUE","SMP",FALSE,1.8,1.9514,355.88,0.040901,0.84871
"1062","3","FALSE","SMP.rate",FALSE,0,0,396.03,0.033272,0.13279
"1062","4","FALSE","SMP",FALSE,0,0,377.76,0.034051,0.91135
"1062","5","TRUE","SMP.rate",TRUE,1.8,1.9514,318.03,0.10933,0.36254
"1062","6","TRUE","SMP",TRUE,1.8,1.9514,369.12,0.038147,0.84797
"1063","1","TRUE","SMP.rate",FALSE,15.1,198.9,366.3,0.14782,0.58716
"1063","2","TRUE","SMP",FALSE,15.1,198.9,357.33,0.072996,0.98255
"1063","3","FALSE","SMP.rate",FALSE,0,0,466.4,0.035484,0.32574
